TAID,Class,BCUTi-1l,BCUTdv-1h,BCUTs-1l,BCUTi-1h,BCUTZ-1l,BCUTs-1h,BCUTd-1h,BCUTv-1l,SIC0,BCUTse-1l,BCUTse-1h,BCUTdv-1l,EState_VSA8,nBase,PEOE_VSA7,SLogP,SMR_VSA6,BCUTZ-1h,SMR_VSA3,AATSC0v,ETA_dEpsilon_D
TOX-49809,0,11.05737958,6.022364733,1.129418281,14.55315692,5.794490747,7.008273876,3.224806042,14.70214454,0.267551973,2.534154182,3.702769937,0.993571331,5.316788604,5,19.76538045,-3.34743,20.70222593,8.02320613,10.21669833,44.08542526,0.158333333
TOX-48547,1,10.95982547,6.007540781,1.249329381,14.54145404,5.699496063,6.002601689,3.177218102,14.70630436,0.28973569,2.442588745,3.677218134,0.774006268,10.63357721,1,24.26546827,2.7814,31.55793979,17.00110282,5.316788604,52.11749834,0.064467532
TOX-58487,0,10.95318927,6.009101907,1.246218629,14.540226,5.692688014,6.003654845,3.231541766,14.70584336,0.268650692,2.437298222,3.681230231,0.988939276,5.316788604,1,6.066367068,0.7201,19.75852033,8.012878974,5.316788604,48.7285263,0.074782609
TOX-55046,0,11.06040503,6.036891686,1.200827776,14.55419289,5.799296657,7.019261784,3.242136617,14.70003527,0.197369823,2.540841421,3.724839639,0.987131486,15.95036581,0,106.1364741,2.7919,54.36971355,8.038035646,50.24973393,47.76108725,0.025739538
TOX-29809,0,11.07692223,6.028535988,1.234458719,14.54781516,5.811477733,7.009356835,3.21195762,14.70069318,0.281425375,2.545077075,3.714504259,0.987843347,11.82364693,1,40.15761125,0.8382,20.19931035,8.029198301,9.799819462,47.69234084,0.0
TOX-1970,0,10.33753232,7.007074247,0.622458279,17.42774008,5.736878034,8.004646691,4.030069615,13.30344491,0.387570262,2.476435034,4.020307515,0.654573429,20.8422406,0,15.99987472,-1.2906,31.82926868,16.00304874,30.42395327,43.14231083,0.062487245
TOX-64429,1,10.94898207,6.022305294,1.321198205,14.54327085,5.688636061,7.008271591,3.180093564,14.70237619,0.236787941,2.434281526,3.702301349,0.995949568,4.899909731,1,49.70336179,4.5602,26.24115118,8.022399684,4.899909731,52.20366431,0.0
TOX-2113,0,11.14736422,6.042731252,1.442793098,14.66012453,5.880806903,7.011003485,3.029571345,14.66260758,0.378022323,2.61701565,3.738197647,0.9872569,5.285884721,0,13.8474744,1.0096,13.08951281,8.042737434,5.008912524,42.16863621,0.0
TOX-73234,1,10.95388202,6.007452069,1.264333414,14.5378083,5.693474951,4.004562718,3.062871706,14.70646185,0.284769931,2.438863303,3.678456501,0.993710322,0.0,1,31.04074445,1.5849,7.109797541,8.011075096,0.0,50.92069053,0.071031746
TOX-2413,0,10.46188677,6.012026802,0.297778219,14.56434212,5.761452949,7.006637823,4.027559925,14.70295666,0.388931193,2.449861081,3.723823648,0.54022419,19.47568272,0,0.0,-1.863,12.34054944,15.01117516,19.51903521,41.33203155,0.147226387
TOX-37657,1,10.9600534,6.016708242,1.190557802,14.5432681,5.699556486,3.516496314,4.019011798,14.70510981,0.259429699,2.44421452,3.690724728,0.995953272,4.899909731,1,38.06389019,2.6765,32.84803315,8.01698621,4.899909731,50.28032763,0.0
TOX-53250,0,10.93703246,6.024444971,1.252648215,14.54828159,5.676102087,7.010460954,3.240558139,14.70046893,0.275007656,2.421225103,3.714604988,0.995951415,15.61755573,0,17.19327005,2.0272,0.0,8.029548605,15.61755573,49.26115988,0.066318356
TOX-2553,0,10.33597063,6.0223325,0.297770491,14.54432373,5.799396558,7.008819611,4.027586112,14.70158072,0.299962573,2.449802273,3.724358465,0.540209018,16.76427297,1,38.98672766,0.5065,19.84819757,17.00110486,10.21669833,49.71043126,0.089989759
TOX-4326,0,10.98816312,6.022010689,1.439074541,14.5481402,5.723625842,7.008267621,3.167578293,14.7027119,0.310477515,2.463230627,3.701939379,0.9872569,4.983978521,0,25.98020854,1.5636,13.08951281,8.022016229,9.883888252,49.85103785,0.0
TOX-35413,1,10.9552967,6.016478199,1.037685852,14.5437207,5.699424653,3.516022921,4.019014843,14.70612187,0.291418561,2.439096971,3.690375214,0.254946969,55.92406053,2,57.08213474,4.0205,32.72378203,35.00142842,10.21669833,56.90070795,0.02226614
TOX-25534,1,10.94637611,6.028564773,1.235775163,14.54022614,5.686072043,7.00827463,3.23452789,14.700846,0.230661758,2.432067004,3.714493837,0.996623265,53.84772515,1,49.19079318,5.0711,41.0257874,8.029357637,5.316788604,51.37521504,0.014985994
TOX-2339,0,10.43534737,6.024435167,1.003590264,14.54145718,5.692033804,7.010455152,3.31586759,14.70046955,0.422649604,2.419814626,3.714519091,0.151462965,10.63357721,0,67.77261188,3.1154,10.63357721,53.00226791,0.0,70.13725458,0.072639752
TOX-24770,1,10.94613977,6.022027773,1.18255667,14.54327157,5.685835147,7.008270477,4.022105061,14.70251648,0.209649231,2.431795077,3.701577889,0.987183067,63.784064,1,48.18496202,5.5202,26.24115118,8.022097086,4.899909731,52.57958165,0.0
TOX-37669,1,10.94334731,6.009837342,1.090947297,14.86030529,5.682849546,6.027340796,4.034941659,14.70629047,0.268309982,2.42788024,3.677976651,1.89103451,21.47704344,1,68.5353168,3.35178,13.08951281,8.010655718,4.899909731,50.03216245,0.019278253
TOX-4380,1,10.95252261,6.028765953,1.270269848,14.54092192,5.692138005,7.008270625,3.1312141,14.70146231,0.299715416,2.437551808,3.714638121,0.988719659,19.164263,0,23.61409167,2.5282,7.047671983,8.028860536,5.316788604,50.16502615,0.035873016
TOX-35503,1,10.94375752,6.022207835,1.350112005,14.5610994,5.680050471,7.008270863,3.245932641,14.7023679,0.274506804,2.420602132,3.702209079,0.987798359,14.86786677,0,18.90801031,2.068,51.03219791,8.022352309,14.86786677,48.0606424,0.038569604
TOX-5627,0,11.02982065,5.060976477,1.561251165,14.55913857,5.762020129,4.005312226,3.071370733,15.58497785,0.385427506,2.495982622,3.333050664,0.995955032,9.967957042,0,12.99010427,0.36722,5.733667477,7.074080399,9.967957042,46.05062705,0.11
TOX-11172,1,10.95368818,7.004059213,1.231141504,17.42477244,5.693061042,8.001920444,3.281495056,13.30411992,0.275017186,2.435761436,4.009950944,1.857036326,9.883888252,1,62.20542369,3.7687,19.63426922,9.004068729,14.4509879,50.25227571,0.018531551
TOX-30360,0,10.31320991,5.033699976,0.625066746,14.55648794,5.781698316,3.039704566,3.177419856,15.58566062,0.332404819,2.513817805,3.328765705,0.651474618,20.60153425,0,19.14161064,1.04522,19.345282,16.00479995,20.60153425,54.11728362,0.09037037
TOX-14979,1,10.94760765,6.005860365,1.263086059,14.54465461,5.687627323,3.509654964,3.212666495,14.70681624,0.230789044,2.432538966,3.676132485,0.773998681,71.32086028,2,29.68045874,5.57222,39.33066399,17.00110366,9.799819462,54.26474602,0.0
TOX-41091,1,10.95153397,6.008618438,1.254691916,14.53781113,5.691008394,4.004565846,3.130450563,14.70553298,0.26431799,2.436291265,3.680090442,0.996623366,0.0,1,41.81319288,2.9463,14.21959508,8.012321613,0.0,51.95254579,0.047786132
TOX-72792,0,10.95524908,6.005011852,1.248477121,14.5432671,5.694936035,6.002600207,3.053915074,14.70630556,0.251470092,2.440845657,3.676675919,0.9872569,18.74738413,1,18.6529643,1.9059,26.24115118,8.010474208,4.899909731,49.97112162,0.028540305
TOX-2941,0,11.15449819,4.011683446,1.382444227,14.5415173,5.882444227,2.523148439,2.203,15.59351926,0.324698735,2.612247254,3.246231506,1.890702451,10.63357721,2,0.0,-0.8208,26.17902562,7.023148439,10.63357721,43.80035311,0.133333333
TOX-2498,1,10.311404,5.176057452,0.604559722,14.69162137,5.691519032,3.165885893,3.272666812,15.4442053,0.376108501,2.434436003,3.493094058,0.255986122,36.76077423,0,34.98641523,4.40412,0.0,35.00041811,14.76446326,50.65634147,0.0
TOX-6480,0,10.46187992,7.004059119,0.297773241,17.42477236,5.703335327,8.001804272,4.12403972,13.30411743,0.27046785,2.447857884,4.009887448,0.540217036,4.523747162,0,56.594876,2.0127,6.606881965,15.01117637,0.0,49.30183444,0.068915344
TOX-42902,0,10.31322351,6.023236387,1.104365954,14.54442532,5.767496283,7.009355946,4.039339027,14.70178023,0.305268213,2.508191385,3.70409947,0.653461433,17.55731441,0,36.3924132,1.5959,0.0,16.00441176,10.63357721,51.99467587,0.054444444
TOX-6235,1,10.94812635,6.006690203,1.238187691,14.54389945,5.687796786,3.509279735,3.168300546,14.70681862,0.230886687,2.433592301,3.676242125,0.996962983,72.6112524,1,31.01621821,3.8868,20.13718479,8.010041834,4.899909731,53.58335979,0.0
TOX-2863,0,10.93670947,6.028722087,1.335413971,13.64535973,5.676194667,7.009375504,3.316370922,14.69977141,0.265265257,2.420731849,3.716970698,0.995015256,0.0,0,32.25256914,2.73322,7.109797541,8.031471496,0.0,48.71322693,0.048
TOX-25918,0,11.01107893,7.004120078,1.365680709,14.64188444,5.749432584,8.001936956,3.138004145,14.65152207,0.337502589,2.493368053,3.758048882,0.996963941,15.42710865,2,13.11403905,-0.1147,39.77145401,8.054900744,15.22561086,43.83512197,0.029148629
TOX-4153,1,10.33528592,5.023845535,0.627881815,14.54484841,5.697878117,2.263186125,3.231725635,15.59139807,0.244884682,2.433197994,3.267660358,0.630903201,65.56783011,1,69.44249778,5.8856,31.29286371,16.00315805,4.899909731,57.13349306,0.0
TOX-43795,0,11.01555559,6.028132168,1.268296537,14.69130174,5.74956799,7.00827297,3.131542116,14.70122456,0.309737787,2.486789458,3.714650041,0.987231552,25.78580936,0,32.90394574,0.7567,30.0220959,8.028971848,15.62315501,44.7821401,0.080217391
TOX-69732,1,10.95088896,6.021938727,1.152778899,14.54844403,5.690240972,7.008273826,4.034758886,14.70270777,0.256047663,2.435549596,3.702096714,0.99285176,16.80762545,1,45.13608842,2.1932,14.09534397,8.022044146,9.883888252,51.366104,0.040782828
TOX-13308,0,10.31977144,6.022788487,0.298942327,14.55901118,5.700840178,7.014578676,4.043810341,14.69997087,0.391013589,2.442874251,3.768335597,0.644236963,14.69005191,0,12.13273414,0.7408,11.32897683,16.0131224,9.967957042,44.32406426,0.056728778
TOX-2012,0,10.95442976,6.029742458,1.250277094,14.54839715,5.694126771,7.011548121,3.216593537,14.69977138,0.277132219,2.440121659,3.718085352,0.987842623,5.316788604,1,32.25256914,0.8762,20.19931035,8.032291073,15.11660807,47.46863317,0.038709677
TOX-5811,0,11.1532772,6.006171324,1.392485144,13.62913888,5.891786361,6.003743699,2.193094616,14.70585931,0.301950453,2.629059264,3.679848782,1.895523476,0.0,0,0.0,-0.9958,39.64129179,8.012670152,0.0,42.37937064,0.117777778
TOX-4096,1,10.33723168,5.023809353,0.628232549,14.54527112,5.697956262,2.268888538,3.230773193,15.59112028,0.258138087,2.434815173,3.267685025,0.660651115,72.42609997,1,51.32639027,4.241,32.08476651,16.00200377,4.899909731,55.57664985,0.0
TOX-9065,0,10.33597396,6.022026386,0.624919899,14.54431728,5.799391631,7.008274315,3.199442053,14.70224038,0.266001857,2.542951393,3.702397492,0.629775776,12.2405258,1,38.98672766,-0.857,19.84819757,16.00221316,10.21669833,48.19434564,0.09529321
TOX-68936,1,10.92007031,6.023804448,1.244381498,14.54022469,5.659007494,7.008279149,3.28842289,14.70172663,0.269214108,2.399922655,3.707165211,0.98798751,5.316788604,1,36.24974139,2.8067,6.606881965,8.024012827,5.316788604,51.14104481,0.043560606
TOX-1742,0,10.33782659,6.023259747,0.617319056,14.55436867,5.802098502,7.009371179,4.023072732,14.70068237,0.30339215,2.534665801,3.714136094,0.659356578,9.892314463,2,26.68911765,1.4062,13.08951281,16.00200357,9.799819462,50.34466236,0.02483531
TOX-2835,0,11.24669862,5.023278447,1.402991453,14.55570138,5.947037703,2.105008547,3.060962297,15.58927828,0.32187317,2.640930938,3.307069062,1.984721553,19.59963892,4,0.0,-1.0198,40.01214713,7.060962297,19.59963892,44.68381928,0.0
TOX-40087,1,10.95441103,6.028540982,1.154710674,14.54454271,5.694090248,7.009359828,4.029865406,14.70063085,0.233797917,2.440062787,3.714940892,0.987831016,36.0891152,1,43.8823877,4.0684,25.09922008,8.029467708,4.899909731,51.60550593,0.0
TOX-33190,0,10.43534551,6.024441988,1.003525158,14.54144555,5.687407626,7.010459117,3.315893241,14.70043963,0.384388444,2.416752484,3.714638156,0.151462963,10.63357721,0,73.33606337,1.808,18.46842697,53.00226811,5.316788604,68.9097688,0.084410705
TOX-42897,0,10.313223,6.023237036,1.104615962,14.54442607,5.767452795,7.009356356,4.039339811,14.70178023,0.292494197,2.50815747,3.704103971,0.653460757,24.48105161,0,42.81323483,1.986,0.0,16.00441186,10.63357721,52.03232785,0.05112782
TOX-7881,0,10.31206344,6.006704015,1.163968547,14.5636609,5.762734868,6.004775749,3.275623129,14.70610223,0.39940891,2.463989214,3.679407065,0.653446429,14.95193556,0,0.0,-0.89961,6.606881965,16.00441348,19.51903521,45.08800353,0.114721587
TOX-17272,1,10.31139947,4.231443479,0.609960879,14.54084957,5.677806918,2.53263905,3.234353855,15.59409635,0.246833051,2.42371624,3.24016824,0.650323601,47.10470682,1,66.5647821,3.8879,13.59242839,16.00450266,5.316788604,56.87706384,0.021754386
TOX-31844,0,10.31951993,6.021223905,0.291552851,14.5451403,5.855420912,7.014494923,4.039395479,14.70061839,0.376232964,2.44167559,3.778422154,0.540502878,5.087295063,0,13.34455882,1.0115,44.4808902,17.00110344,9.757711253,50.4667839,0.034172932
TOX-28630,0,10.95402659,6.023653209,1.304717358,14.54334727,5.694178965,7.009373833,3.21839031,14.70056189,0.29645735,2.437820095,3.714386645,0.773996665,0.0,0,42.81902403,3.8688,25.66426122,17.00110325,0.0,49.98010082,0.021822005
TOX-47949,0,10.97955114,6.022241923,1.379550881,14.56002977,5.712494048,7.008277411,3.305079345,14.70269501,0.286839273,2.445507439,3.704256487,0.987791143,4.983978521,0,44.88821885,2.18216,0.0,8.022245568,9.384673127,51.24124551,0.0
TOX-2011,0,10.92592681,6.022006426,1.151746102,13.6428083,5.665626219,7.008295209,3.178224522,14.70105169,0.216784713,2.411622213,3.713849212,0.993575837,17.91688874,0,56.78156345,3.5413,0.0,8.028875805,0.0,51.18978351,0.053580902
TOX-107947,0,10.94621953,6.022235915,1.178856426,13.64279298,5.685858518,7.00829199,4.034734676,14.70114413,0.260521057,2.431420698,3.71422333,0.988018934,0.0,0,18.05064018,3.0513,6.606881965,8.028897583,0.0,51.66663078,0.026052632
TOX-41297,1,10.95309207,5.012776434,1.161155035,14.54326515,5.692762047,6.002557289,4.023992217,14.70816264,0.221245936,2.438572013,3.667762997,0.987938823,23.95638107,1,44.3362508,3.5503,19.63426922,8.006106882,4.899909731,51.6575241,0.023070175
TOX-65246,0,10.959585,7.004120852,1.200809631,14.59505885,5.698234601,8.001937166,4.023155082,14.65157098,0.313905514,2.441787067,3.756917687,0.992931366,9.984809465,5,50.24567681,2.5726,4.899909731,8.05451991,0.0,45.73716927,0.077435897
TOX-76540,0,11.00998704,6.028096684,1.183362583,14.54326789,5.749636385,7.008270584,3.159088301,14.70146586,0.234969233,2.495229276,3.713938192,0.9872569,37.47836003,1,38.26988373,3.0299,26.24115118,8.028769482,4.899909731,50.08254525,0.0
TOX-37947,1,11.13890073,6.042955318,1.47488412,14.66038434,5.876565132,7.011388815,3.037884702,14.6625803,0.442270339,2.606979245,3.738505208,0.995398994,10.02274767,0,0.0,0.1202,13.77848873,8.042989338,5.008912524,39.55315454,0.0
TOX-25372,0,10.31188961,5.053499949,0.610237231,14.55430526,5.69219576,3.053210148,3.178056239,15.58688084,0.340934858,2.436175735,3.498014885,0.65033177,9.976383254,0,17.69618563,5.8675,0.0,17.00214139,4.983978521,50.75276938,0.0
TOX-1572,1,10.92496585,6.011344212,1.371675736,14.54785279,5.663022901,3.517885572,3.244502233,14.70549059,0.265292824,2.406463838,3.685109036,0.996623291,4.983978521,0,41.28151105,3.86,28.43919017,8.015180401,4.983978521,50.53313657,0.0
