TAID,Class,BCUTc-1l,BCUTd-1h,BCUTdv-1h,BCUTc-1h,BCUTi-1h,AMID_O,ATS0Z,SpAbs_A,BCUTs-1h,SIC0,BCUTd-1l,VR1_A,ETA_dEpsilon_B,BCUTpe-1l,SpMax_A,Xc-4d
TOX-3295,0,-0.38383465,3.236960732,6.023293827,0.433214661,14.64025504,0.156492445,930,30.28876333,7.009357912,0.266491081,0.977338752,219.1758707,0.058520085,2.248377783,2.529833835,0.0
TOX-3500,0,-0.44698813,4.029118762,6.028774891,0.50106347,14.54845926,0.187295858,836,25.43004361,7.008271913,0.282540398,0.977582663,273.0555597,0.033419824,2.238772747,2.626652656,0.11785113
TOX-3948,0,-0.378540085,3.161502347,5.022657067,0.335509361,14.54817379,0.0,472,15.88877915,3.044092359,0.275663104,0.993931,50.90122512,0.028717949,2.267830754,2.342923083,0.0
TOX-4304,0,-0.460129009,4.029461082,7.004118219,0.507073934,14.59474099,0.51782571,1224,21.24992593,8.001935511,0.386675685,0.972778881,93.56706946,0.056743421,2.079659553,2.329964535,0.176776695
TOX-4348,1,-0.494600811,4.120646388,6.030768048,0.451908949,13.64611803,0.400004778,1382,40.53916225,7.010659452,0.226125845,0.957450532,434.6549349,0.008095663,2.277876709,2.698478927,0.401292929
TOX-4408,1,-0.487309372,4.120634936,6.028300728,0.451266893,13.64364177,0.374948269,1244,37.20014344,7.009671558,0.227277404,0.957488829,269.2848347,0.008430913,2.27787612,2.697634231,0.401292929
TOX-4575,1,-0.383428087,4.034288244,6.01148531,0.508242399,14.56333412,0.36288155,642,11.03623304,7.00660198,0.418211574,0.911369787,32.0841434,0.0,2.108725243,2.276388222,0.144337567
TOX-5132,1,-0.364284364,4.02813968,7.001908527,0.491709548,17.42455304,0.32568897,702,10.5001612,8.001593095,0.332838642,0.978373193,31.48161356,0.0,2.114932797,2.280063868,0.642228525
TOX-5571,1,-0.364657541,4.027556684,7.001907774,0.491602739,17.42455252,0.443488444,588,7.38464612,8.001592577,0.424193202,0.978621968,19.55115834,0.0,2.11493094,2.148961142,0.353553391
TOX-5688,0,-0.168594463,2.147553942,2.145964339,0.214307913,11.40839769,0.0,628,5.464101615,1.658168798,0.360681228,0.9872569,8.986715488,0.0,2.376612203,1.732050808,0.0
TOX-6129,1,-0.501552677,4.118326342,6.037347953,0.493017899,13.65324531,0.497389208,2180,63.53624117,7.008295712,0.210911273,0.977435871,13327.47279,0.016415286,2.26436033,2.674698121,0.321975275
TOX-6296,0,-0.49381302,3.178159724,6.028289746,0.430277298,14.54390997,0.190595898,812,25.92679945,7.008270861,0.247721012,0.977918943,270.6532612,0.028286664,2.236948105,2.431084667,0.0
TOX-6297,0,-0.493817464,3.15632913,7.004119203,0.456484696,14.59478327,0.328696976,950,27.97941718,8.00193702,0.29159108,0.972736677,429.9544841,0.037698413,2.242189107,2.430732045,0.0
TOX-6454,0,-0.493812493,3.155788998,6.028289645,0.430394881,14.54391005,0.190629222,1998,25.48408841,7.008270825,0.283912902,0.977919008,313.412461,0.032608696,2.241555964,2.43064494,0.0
TOX-6975,0,-0.500502426,3.041064321,7.002424046,0.421997082,17.42476523,0.444128225,398,9.409260219,8.001863994,0.393569368,0.977619588,22.12931906,0.0,2.378376242,1.989043791,0.0
TOX-7078,0,-0.497829703,3.04101403,7.002425328,0.485078307,17.42476492,0.584805271,322,6.898979486,8.001863812,0.517405537,0.977379347,12.26120893,0.0,2.416973073,1.931851653,0.0
TOX-7159,1,-0.487327784,4.120541222,6.029101059,0.452096431,13.64494479,0.432800516,1700,50.44623251,7.00936922,0.213893765,0.977228094,2537.446537,0.006378455,2.277253905,2.71365269,0.303246536
TOX-7160,1,-0.501632282,4.118383996,6.03920212,0.493823818,14.55681599,0.338278316,2336,67.31551208,7.012673339,0.218807034,0.971465816,11802959.2,0.009178313,2.265344612,2.694613576,0.321975275
TOX-7161,1,-0.501529845,4.118293373,6.03683906,0.491920315,13.65143422,0.314974158,1218,37.49727837,7.008287261,0.217612808,0.977562345,329.1120485,0.014625286,2.265414912,2.68969591,0.321975275
TOX-7162,1,-0.493834005,4.118361848,6.031219458,0.453107653,13.6468147,0.415367717,1776,52.25183583,7.009370855,0.207746631,0.972503439,2478.069718,0.005753797,2.277758549,2.696288496,0.321975275
TOX-7164,1,-0.501528483,4.118276986,6.036837056,0.491900726,13.65132063,0.262236987,1152,36.65830918,7.008286175,0.215495035,0.977592916,308.1269042,0.021616162,2.264330902,2.673995653,0.321975275
TOX-7172,1,-0.487325453,4.118313601,6.028551618,0.451615331,13.64409709,0.397650331,1638,48.95151239,7.008278068,0.207958145,0.977758896,2102.647184,0.005906238,2.277818463,2.691559018,0.321975275
TOX-7173,1,-0.501540415,4.118300632,6.037068942,0.492364973,13.65198909,0.393042987,1634,49.51423417,7.008290361,0.213681246,0.977510403,1440.59219,0.018604651,2.264360833,2.674687876,0.321975275
TOX-7174,1,-0.487324793,4.118299156,6.02855207,0.451951603,13.64411809,0.397015427,1638,49.08461581,7.008278068,0.207958145,0.977758979,1696.984896,0.005906238,2.277904862,2.676171239,0.321975275
TOX-7175,0,-0.487340728,4.11832484,6.028988709,0.453614659,13.64652504,0.500545935,2184,63.42382989,7.0082834,0.20647058,0.97768922,8206.357725,0.005263314,2.277904183,2.676204661,0.321975275
TOX-7177,0,-0.486030405,4.048642604,6.028871362,0.454809432,14.5432905,0.435639407,1886,56.22205538,7.008280052,0.225317658,0.977728052,1648.444953,0.018326886,2.243883929,2.86488858,0.352965064
TOX-7199,1,-0.501544146,4.118304924,6.037174501,0.492397437,13.65220273,0.421630819,1738,52.09017739,7.008290858,0.210736742,0.977486739,1713.025108,0.011834625,2.26543586,2.678925448,0.287457479
TOX-7200,0,-0.487304538,4.118336755,6.0283003,0.451636257,13.64363996,0.374992361,1244,37.34663619,7.009671549,0.227277404,0.957487775,276.9181155,0.008430913,2.27774808,2.694507029,0.287457479
TOX-7201,0,-0.487306536,4.118277613,6.028111427,0.451066931,13.64309284,0.324609727,1182,36.54218681,7.008275585,0.218156983,0.977837396,262.5831919,0.007577285,2.277952118,2.679576405,0.287457479
TOX-7202,0,-0.487307713,4.118277922,6.028297323,0.451158293,13.6434365,0.324609727,1180,36.54218681,7.009669327,0.222231615,0.957499698,262.5831919,0.008082437,2.277918335,2.679576405,0.287457479
TOX-7222,1,-0.501529927,4.120454064,6.03683944,0.491921016,13.6514348,0.314616573,1218,37.41512585,7.008287264,0.217612808,0.977564968,323.8305283,0.014625286,2.265427677,2.691038056,0.431186218
TOX-7281,0,-0.44464589,3.245258702,6.022186519,0.43129531,14.55113913,0.127419344,572,18.90522891,7.008277356,0.30644429,0.977855917,64.24250987,0.031994048,2.266587996,2.456307298,0.0
TOX-7420,1,-0.501594253,4.155919701,6.037442569,0.492244927,13.65220746,0.388521568,1418,42.35060525,7.009375581,0.225356834,0.972564784,525.8652594,0.022776528,2.264527396,2.723912201,0.375845826
TOX-7421,1,-0.501578088,4.15595927,6.037802269,0.492892425,13.65352778,0.505074709,1964,55.82342117,7.00938625,0.220247779,0.972441247,2427.534365,0.019439072,2.263878421,2.730062214,0.410363623
TOX-7424,1,-0.487326858,4.120590744,6.029104513,0.452214617,13.64494593,0.432800516,1700,50.44623251,7.009369213,0.213893765,0.977233884,2537.446537,0.006378455,2.276868313,2.71365269,0.303246536
TOX-7425,0,-0.487311329,4.121756906,6.028119498,0.451337265,13.64367823,0.465780526,1374,38.85372858,7.008278986,0.23103166,0.977759631,300.9450498,0.00851129,2.277807511,2.722603922,0.38804971
TOX-7428,0,-0.487310806,4.121739625,6.028544665,0.452821486,13.64555847,0.418855464,1308,37.95268451,7.009381656,0.231516747,0.972648859,283.7780851,0.00875336,2.27785671,2.706073558,0.38804971
TOX-7431,1,-0.487325341,4.120678694,6.02865485,0.452267782,13.64516807,0.473865811,1726,50.14080503,7.009679808,0.219948711,0.957454671,1232.757943,0.006921513,2.277876379,2.698748033,0.401292929
TOX-7432,1,-0.487328022,4.120675947,6.028810811,0.451828426,13.64490785,0.432770421,1700,50.26129914,7.009676427,0.213893765,0.957463667,1662.227064,0.006378455,2.277876264,2.698655005,0.401292929
TOX-7447,1,-0.501543227,4.120873672,6.03723785,0.492564797,13.65252591,0.462542874,1760,52.4649578,7.009685824,0.222343412,0.957462341,809.4826525,0.020639535,2.265388218,2.702008684,0.364681277
TOX-7448,1,-0.487322669,4.118298444,6.028646311,0.451662726,13.64448415,0.403469018,1598,48.01992731,7.009675324,0.21413691,0.957474644,1512.254774,0.006542689,2.277918454,2.680228533,0.287457479
TOX-7472,0,-0.487306709,4.120450343,6.028111906,0.451087517,13.64309443,0.325342677,1182,35.89309184,7.008275603,0.218156983,0.977825788,253.7918763,0.007577285,2.277860671,2.692163431,0.431186218
TOX-7473,1,-0.487326343,4.120496395,6.028556162,0.452051251,13.64440612,0.432792248,1702,49.89537067,7.008279206,0.211047559,0.977738649,1478.034207,0.006085193,2.277860809,2.693231146,0.431186218
TOX-7474,1,-0.487325496,4.120490701,6.028552105,0.451610371,13.64409859,0.397656189,1638,48.92547136,7.008278071,0.207958145,0.977761085,1659.581308,0.005906238,2.277860821,2.693131244,0.431186218
TOX-7499,0,-0.439586886,3.322211083,6.024574634,0.499877529,14.55152949,0.535610679,6280,18.18970953,7.010470063,0.466392098,0.971529459,68.90314692,0.077315193,2.24589698,2.473666646,0.0
TOX-7534,0,-0.375641117,3.257249993,5.034369505,0.386759367,14.5479741,0.290965623,526,14.8766531,6.003804622,0.354597139,0.987195476,45.26092502,0.042460317,2.25378525,2.35218817,0.0
TOX-7726,0,-0.490105902,4.123172275,6.03102304,0.455156209,13.64750701,0.515227147,1788,51.86151102,7.009374837,0.225291093,0.977219644,1399.616469,0.007449187,2.277876155,2.754023002,0.365111783
TOX-7727,1,-0.487330566,4.12279653,6.029321049,0.452647759,13.64540552,0.475430347,1762,52.30066956,7.009369864,0.219473827,0.977233885,3872.169431,0.006871854,2.276845486,2.780505229,0.284517797
TOX-7729,1,-0.487322752,4.118315097,6.028417644,0.452022622,13.64430382,0.439836668,1664,48.82615436,7.008279784,0.214251625,0.977748119,1533.659201,0.006416957,2.277818598,2.691611694,0.321975275
TOX-7730,0,-0.501527075,4.118274506,6.036834746,0.491881588,13.65121509,0.206356414,1086,35.57165893,7.008285099,0.211968065,0.9776267,289.7658655,0.0282861,2.252940741,2.672450214,0.321975275
TOX-7735,1,-0.48732263,4.118301262,6.02841747,0.451988955,13.64430256,0.439098909,1664,49.47602955,7.008279769,0.214251625,0.977759249,1391.623241,0.006416957,2.277952159,2.680297662,0.287457479
TOX-7736,0,-0.487306292,4.118278812,6.028112182,0.451108705,13.64309298,0.324609727,1180,36.54218681,7.008275629,0.222231615,0.977837426,262.5831919,0.015659722,2.265573733,2.679576405,0.287457479
TOX-7737,0,-0.487307462,4.118279123,6.028298224,0.451216065,13.64343668,0.324609727,1178,36.54218681,7.009669416,0.226347888,0.957499759,262.5831919,0.016722284,2.265001986,2.679576405,0.287457479
TOX-7936,0,-0.22450587,3.025653949,5.006060546,0.288978489,13.62319907,0.281840677,692,6.898979486,6.002596938,0.423017364,0.9872569,12.26120893,0.0,2.372715612,1.931851653,0.0
TOX-8381,1,-0.48732426,4.120672923,6.028650688,0.451794394,13.64479862,0.440096591,1662,48.68285162,7.009677568,0.217232267,0.957464803,1325.843711,0.006737805,2.277876391,2.698649242,0.401292929
TOX-8421,0,-0.26702057,3.029562248,4.014966857,0.235171577,14.54021617,0.0,354,11.38464612,2.518590871,0.235039912,0.987942046,30.6717295,0.0,2.355707719,2.148961142,0.0
TOX-8440,1,-0.487326551,4.12227096,6.028658709,0.452456668,13.64554936,0.506650176,1790,51.07940634,7.009682052,0.222333499,0.957444822,1430.546784,0.007094464,2.277667608,2.715513461,0.38256419
TOX-8442,0,-0.487306628,4.118285744,6.028111573,0.45108411,13.6430937,0.324953607,1182,36.00898419,7.0082756,0.218156983,0.977823919,254.4302527,0.007577285,2.277883993,2.682714121,0.30034919
TOX-8495,1,-0.487326267,4.118311161,6.028555691,0.452046745,13.6444048,0.432585884,1702,50.01897796,7.008279203,0.211047559,0.977737318,1544.464414,0.006085193,2.277884055,2.683612604,0.30034919
TOX-8793,1,-0.487310649,4.122228581,6.028303724,0.451416827,13.64386771,0.421942426,1308,38.13628025,7.009673785,0.231516747,0.957477598,284.3361906,0.00875336,2.277667268,2.714646886,0.38256419
TOX-8800,0,-0.48733749,4.118384039,6.028991043,0.454129232,13.64703772,0.526005167,2248,64.22381998,7.008284546,0.208266747,0.977671427,17477.76541,0.005369206,2.277734389,2.691653889,0.321975275
TOX-9827,1,-0.49113066,4.118342604,6.032386409,0.454064696,13.64996762,0.47194554,2510,72.62701243,7.009382,0.197167285,0.972421435,342296.168,0.00436206,2.277903544,2.676104663,0.321975275
TOX-10852,0,-0.487309468,4.122222826,6.028116919,0.451289912,13.64346157,0.421942426,1310,38.13628025,7.008277851,0.227429307,0.977784784,284.3361906,0.008222854,2.277707604,2.714646886,0.38256419
TOX-10980,1,-0.487324988,4.118352819,6.028853078,0.453799904,13.64515234,0.45002371,1660,49.57592175,7.009675973,0.220236554,0.957474321,508.3085203,0.007083333,2.277914327,2.68848056,0.405308609
TOX-11496,0,-0.493812872,3.155765647,6.028289708,0.430213558,14.54390997,0.190638743,812,25.90310064,7.008270861,0.247721012,0.977918976,330.6071817,0.028286664,2.237976799,2.430561704,0.0
TOX-11675,0,-0.493806968,3.178159724,7.004059537,0.432699773,17.42477058,0.190595898,854,25.92679945,8.001917991,0.283912902,0.977918943,270.6532612,0.036024845,2.242930773,2.431084667,0.0
TOX-11821,0,-0.362536009,3.105624402,6.024821808,0.53729172,14.56407584,0.582428586,450,10.1289902,7.010463382,0.557885891,0.977160731,26.52864489,0.0,2.374662008,2.236067977,0.0
TOX-12603,0,-0.416657194,3.257267619,6.004929131,0.392813452,14.54784868,0.413130506,578,15.9895299,6.003804972,0.334023609,0.987171919,56.81034774,0.040512821,2.254008878,2.357503426,0.0
TOX-13004,0,-0.487308784,4.118279273,6.028761783,0.451312758,13.64382458,0.324609727,1176,36.54218681,7.010652418,0.230478583,0.957492003,262.5831919,0.017896825,2.264422834,2.679576405,0.287457479
TOX-13236,0,-0.495501658,4.118333993,6.029265731,0.427969403,13.64688428,0.461958392,2374,69.31593704,7.008283137,0.195615655,0.977704417,148302.4659,0.0,2.291640602,2.676104662,0.321975275
TOX-13370,0,-0.390997956,4.119899768,6.024423255,0.390036804,13.64043646,0.330741974,1572,43.70313441,7.010459437,0.207300649,0.977238958,778.67755,0.011716291,2.259058251,2.737606501,0.987235914
TOX-13488,1,-0.487324014,4.122144575,6.028421373,0.452194003,13.64461481,0.474299837,1728,49.80452499,7.008280926,0.216984345,0.977729171,1433.257877,0.006595795,2.277651065,2.710771929,0.412457479
TOX-13528,1,-0.501598324,4.121489367,6.038513395,0.49273902,13.65286692,0.378225532,1492,45.16430742,7.010458928,0.220454097,0.971466118,1156.985281,0.014547731,2.26534315,2.821338306,0.278838768
TOX-13533,0,-0.501587657,4.122850056,6.037603312,0.492217563,13.65207704,0.353275466,1354,41.51172137,7.009371655,0.221179317,0.972601032,828.4056315,0.015064935,2.265427586,2.801911849,0.38804971
TOX-13572,1,-0.501590367,4.120650191,6.037640976,0.492256223,13.65237198,0.388316228,1418,42.0616954,7.010665006,0.225356834,0.957449805,507.4714018,0.01561208,2.265428885,2.697473673,0.401292929
TOX-14038,0,-0.344452124,3.046572777,6.015005367,0.410422068,13.64106561,0.709863512,600,9.43114762,7.006718566,0.425704883,0.977969449,22.28783589,0.0,2.378802337,2.175327747,0.0
TOX-14303,0,-0.488501533,4.157556153,6.034234506,0.458203622,13.64979413,0.467937759,1976,57.25882502,7.010463648,0.212180928,0.971466121,11092.32023,0.005983777,2.277873523,2.817446303,0.367227116
TOX-15436,0,-0.349833317,4.028476292,7.001913622,0.605376656,17.4245529,0.757768372,576,7.595865304,8.001592645,0.537172207,0.981099956,15.79387081,0.0,2.134164833,2.135779205,0.25
TOX-15521,1,-0.487326555,4.120681724,6.028658548,0.452456289,13.64555705,0.506568143,1790,51.66403346,7.009682023,0.222333499,0.957453579,1524.339565,0.007094464,2.277876361,2.698755667,0.401292929
TOX-15701,0,-0.487307386,4.159746784,6.028261249,0.451125735,13.64298374,0.281852549,1116,35.75573797,7.008273672,0.216189042,0.97788331,388.9626503,0.007705844,2.278131145,2.845797477,0.354581986
TOX-15702,1,-0.48732784,4.12053801,6.028559777,0.452160974,13.64472521,0.466749128,1766,50.73144188,7.008280344,0.213782766,0.977717864,1635.12566,0.006254405,2.277771037,2.708068278,0.431186218
TOX-16374,1,-0.487324309,4.120535003,6.028421359,0.452128272,13.64461453,0.474477257,1728,49.63902603,7.008280926,0.216984345,0.97772853,1347.86942,0.006595795,2.27777118,2.70806073,0.431186218
TOX-16383,0,-0.487308902,4.157504169,6.02824526,0.451248659,13.64314884,0.335026215,1180,36.69159246,7.008274799,0.222231615,0.977853375,377.3566739,0.008082437,2.277874026,2.817156438,0.367227116
TOX-16402,1,-0.487325712,4.120713308,6.028424467,0.452218162,13.64495736,0.506850605,1792,50.9894841,7.008282052,0.21939371,0.977717787,1355.979736,0.006764489,2.277829111,2.713444342,0.401292929
TOX-16509,0,-0.334372399,4.019925432,6.021999096,0.427286728,13.64265792,0.427254926,532,14.44528475,7.008291145,0.27726656,0.972891956,47.50794268,0.0,2.322094057,2.334414218,0.125
TOX-16552,1,-0.487341418,4.1207261,6.029113734,0.454021542,13.64814551,0.55834854,2272,64.15972018,7.009690354,0.214573849,0.957423309,12849.5616,0.005938914,2.277875757,2.698760759,0.401292929
TOX-16774,1,-0.493852387,4.118402537,6.032395215,0.45483744,13.65052177,0.49409588,2574,73.45015564,7.00938429,0.198832822,0.972397616,225665.0914,0.004441884,2.27775738,2.696289366,0.321975275
TOX-17260,0,-0.415345753,3.257245703,6.008294419,0.387370357,14.54581571,0.125913878,1602,36.91853485,7.00672044,0.288189625,0.977982344,1531.537573,0.05012025,2.232350798,2.51963628,0.0
TOX-17718,0,-0.501564415,4.118352504,6.037681873,0.493845631,13.6553026,0.563694524,2726,77.79340067,7.008301117,0.206792988,0.977378824,106287.4118,0.014523566,2.264359846,2.674698287,0.321975275
TOX-17719,1,-0.501588558,4.120932775,6.038034697,0.493098229,13.65377121,0.504875011,1962,56.62245331,7.010680977,0.222853403,0.957418627,976.5760728,0.020323559,2.265303189,2.716145782,0.364681277
TOX-17720,1,-0.48735622,4.118350911,6.029531277,0.455981439,13.65028637,0.56596727,2730,77.46411038,7.008288784,0.203234788,0.977640944,122148.8278,0.0046875,2.277903526,2.676204779,0.321975275
TOX-17738,1,-0.487325896,4.118312345,6.028556893,0.452129149,13.64440517,0.432585884,1700,50.01897796,7.008279247,0.213893765,0.977737348,1544.464414,0.012463648,2.265232592,2.683612604,0.30034919
TOX-17740,1,-0.501540997,4.118297489,6.145591873,0.492210943,13.78654134,0.420791734,1736,52.38070575,7.00968088,0.213482198,0.957493821,248681.0166,0.018174603,2.265432601,2.678631929,0.287457479
TOX-17750,1,-0.50145507,4.120736346,6.037617914,0.492917378,13.65300967,0.48684378,1862,53.58549619,7.010675006,0.221328739,0.95743652,1738.699852,0.013654401,2.264996185,2.709288292,0.401292929
TOX-17755,1,-0.487331943,4.120684774,6.028998009,0.452332282,13.64541294,0.458568135,1802,52.73957507,7.009677521,0.21346149,0.957452386,1619.025373,0.006216367,2.277876118,2.698780619,0.401292929
TOX-17837,1,-0.487323943,4.118296024,6.028548025,0.451524775,13.64384198,0.359953234,1574,48.11757848,7.008276935,0.204461236,0.977783173,1927.640028,0.005716986,2.277904876,2.676102956,0.321975275
TOX-19105,0,-0.406133944,3.168507384,6.022068871,0.383340168,14.54327984,0.180501427,854,25.47496945,7.008268828,0.227690814,0.977840654,133.9167977,0.022142857,2.242893637,2.292358675,0.0
TOX-19158,0,-0.487306289,4.118278721,6.028112187,0.451114676,13.64309301,0.324609727,1180,36.54218681,7.008275629,0.222231615,0.977837438,262.5831919,0.015659722,2.266454826,2.679576405,0.287457479
TOX-19627,0,-0.365510974,3.061106449,6.021914953,0.384247443,14.54372967,0.118024772,610,19.34557763,7.00826827,0.290145271,0.978007109,66.73305568,0.039581517,2.248719626,2.244112658,0.0
TOX-19824,0,-0.494377699,4.118285255,6.030763129,0.451840362,13.64582331,0.355085157,1316,39.87781721,7.01065622,0.225622762,0.957459832,466.4585544,0.016109927,2.265021706,2.680111941,0.287457479
TOX-20370,1,-0.487325426,4.120673735,6.028424344,0.452281785,13.64496498,0.506568143,1792,51.66403346,7.008282038,0.21939371,0.977728451,1524.339565,0.006764489,2.27791443,2.698755667,0.401292929
TOX-20566,0,-0.52929663,3.16073996,6.022017997,0.380512976,14.54022557,0.236241007,948,29.66389025,7.008270346,0.254153952,0.977909377,126.4426984,0.053523238,2.241726936,2.292555507,0.0
TOX-20740,1,-0.487322458,4.118299152,6.028417521,0.45209096,13.64431033,0.43955735,1664,49.33121953,7.008279769,0.214251625,0.977760085,1743.566989,0.006416957,2.277904981,2.676169814,0.321975275
TOX-20913,1,-0.487337498,4.118323168,6.028807377,0.453494748,13.64636738,0.507454578,2146,62.01428067,7.008283985,0.208926643,0.977697288,13648.05128,0.005498994,2.27790432,2.676174088,0.321975275
TOX-20967,0,-0.341082128,4.030169736,4.231025226,0.33937141,14.54084981,0.0,716,26.08261097,2.532628705,0.218893291,0.987937961,128.6206043,0.050526316,2.219744836,2.63291984,0.083333333
TOX-21152,1,-0.491145713,4.118428596,6.033344575,0.457508692,13.65448086,0.552342606,3120,87.4677034,7.00939507,0.196607026,0.972323486,2750044.554,0.004028462,2.277733008,2.691599796,0.321975275
TOX-21782,0,-0.405479435,3.269712938,6.005856566,0.34760256,14.5445335,0.088653954,898,27.80945094,3.509647728,0.213555559,0.988145835,215.4200941,0.037379808,2.22469747,2.445513678,0.0
TOX-22100,0,-0.389509039,4.024993141,6.02334429,0.394792374,14.5448855,0.23669632,640,18.7935706,7.009354458,0.296474372,0.977320503,74.78409623,0.0,2.324958395,2.517871793,0.102062073
TOX-22571,1,-0.487359656,4.118422042,6.02993452,0.455498031,13.6514571,0.547705142,2982,84.57331134,7.008290192,0.197198526,0.977631712,187374.6772,0.004121395,2.277733235,2.691605361,0.321975275
TOX-22572,1,-0.487363097,4.118362551,6.02992712,0.454836753,13.65072159,0.528660597,2918,83.76835338,7.008289034,0.195960086,0.977646108,136530.3126,0.004061432,2.277903117,2.676113063,0.321975275
TOX-22843,0,-0.487338568,4.118324836,6.028813665,0.453833757,13.64688735,0.533776251,2210,63.50937979,7.008285118,0.210709658,0.977689343,8361.986617,0.005609493,2.277904299,2.676202342,0.321975275
TOX-22885,1,-0.501543697,4.120682543,6.037224135,0.492503569,13.65252282,0.462376197,1762,51.66323204,7.00968575,0.219473827,0.957453931,1294.013103,0.013424088,2.265428472,2.697749946,0.401292929
TOX-23665,1,-0.501539448,4.120505988,6.037072335,0.492437086,13.65215727,0.428741284,1698,50.55102612,7.0082915,0.216764243,0.977487574,1712.600962,0.019157088,2.264266902,2.695053926,0.303246536
TOX-23937,0,-0.49017031,4.120667129,6.030812329,0.461522298,14.54785137,0.349795179,1576,48.22616161,7.010662703,0.234508436,0.957479121,1647.763886,0.021972934,2.26821429,2.69860228,0.401292929
TOX-23987,1,-0.501545432,4.118345507,6.037374394,0.492492252,13.65214192,0.378845496,1746,53.19957802,7.008289404,0.206921965,0.977498571,1465.662611,0.016709925,2.264360609,2.674814644,0.571975275
TOX-24180,1,-0.501531208,4.118281255,6.037184257,0.492036181,13.65168149,0.313908068,1212,38.06418189,7.010657967,0.229250663,0.957491146,323.8010355,0.025786689,2.263728273,2.678174403,0.287457479
TOX-24675,0,-0.528334355,4.037992371,6.018121854,0.465665959,14.55214715,0.464381424,1086,22.58117014,7.014236348,0.355725113,0.968242514,145.2822869,0.052264808,2.240699193,2.337160605,0.353553391
TOX-25618,1,-0.487328009,4.120410693,6.028858089,0.455273967,14.54935873,0.375140447,1974,54.15838277,7.009675544,0.238010668,0.957484287,475.9714038,0.006736353,2.27791398,2.692770246,0.477907899
TOX-26504,1,-0.501529611,4.118280702,6.036839756,0.49193731,13.65143388,0.313908068,1216,38.06418189,7.008287291,0.221480871,0.977577208,323.8010355,0.022657206,2.264678212,2.678174403,0.287457479
