TAID,Class,BCUTi-1l,BCUTv-1l,BCUTi-1h,SIC0,fragCpx,BCUTdv-1h,SlogP_VSA2,BCUTd-1h,BCUTZ-1h,ATSC0i,BCUTZ-1l,EState_VSA8,ETA_psi_1,BCUTdv-1l,PEOE_VSA7,IC0,AATSC0v,Xch-6dv,BCUTd-1l
TOX-61542,0,11.03053469,14.70267958,14.54951857,0.579542071,6.03,6.022283605,12.62469589,2.256259377,35.00041749,16.5037011,5.775652129,20.92234863,0.663043478,0.254832106,4.985288131,2.004886164,55.62502513,0.0,0.956180807
TOX-73803,1,10.45329448,14.70467828,14.54784001,0.27815768,20.05,6.014580816,18.19774245,4.029484945,15.01026117,61.13028257,5.714164999,18.83145292,0.6,0.539731982,30.54748191,1.518582836,51.91358899,0.0248452,0.984886455
TOX-35827,1,10.94128692,14.70119086,14.54453522,0.23712479,22.04,6.028260894,44.72307932,3.275811673,8.028932093,66.17200917,5.680836492,18.74738413,0.574585635,0.987152219,44.48471182,1.345072668,49.98043223,0.020833333,0.977771666
TOX-8174,0,11.01106853,14.70058004,13.6434733,0.35508603,10.03,6.028739067,12.57618725,3.135790686,8.029672998,23.49416796,5.750631046,4.736862954,0.483870968,0.988021802,19.05647134,1.480682115,47.32497396,0.019641855,0.978000306
TOX-62573,1,10.94942217,14.70681773,14.54326663,0.224199176,114.02,6.0075421,24.53417895,3.062686738,8.010061416,65.56864858,5.689108729,29.165378,0.647887324,1.838814635,68.57719283,1.245334242,53.57514543,0.138909734,1.734192664
TOX-6555,1,11.05038114,15.59451886,14.54021589,0.265414345,25.01,4.014986178,12.58659724,3.033909649,7.020006847,27.80449152,5.788185114,5.316788604,0.65,1.881613353,38.14594894,1.165784052,49.81024761,0.201184464,1.873867087
TOX-42278,0,10.96004704,14.6997551,14.54583935,0.323483713,18.06,6.031176685,50.17698753,3.125666284,8.03120856,47.3075655,5.699547293,0.0,0.493927126,0.993063454,24.26546827,1.64571137,46.74332419,0.027777778,0.977177809
TOX-14817,0,10.32017963,14.70215169,14.53965232,0.315734096,55.04,6.01753188,8.417796984,4.038962463,16.01312116,50.7844038,5.692557535,4.722094864,0.601351351,0.639888332,24.61992283,1.592687215,53.6335606,0.059852793,0.971648703
TOX-62671,0,10.31140707,14.70816331,14.54326358,0.296834886,79.03,5.010334445,29.64070634,3.177964546,16.00450225,48.19844831,5.748394632,16.34633957,0.634078212,0.650326881,43.29549194,1.484174428,54.84135386,0.23800036,0.993938493
TOX-18331,0,10.95402866,15.4922869,14.643769,0.275663104,12.02,5.122381969,24.81594149,3.142753033,7.129536863,38.62445453,5.693069868,17.23414166,0.630434783,0.99404384,12.48718869,1.295737801,51.51934916,0.032075015,0.988644036
TOX-37738,0,10.95456829,14.6515951,14.59482053,0.429345793,12.05,7.004114554,10.75893083,3.147560711,8.054427997,31.27381105,5.692821012,0.0,0.482035928,2.777129176,0.0,1.823829808,42.43023363,0.027777778,0.971529209
TOX-2368,0,10.46188669,13.30411675,17.42477731,0.415894921,124.14,7.004081711,64.43769433,4.027561544,15.01117536,74.74320568,5.761422362,19.47568272,0.423390925,0.540224157,0.0,2.166585198,39.7079139,0.149443445,0.978524459
TOX-24620,1,10.95367329,14.70099663,14.54022093,0.244524883,23.05,6.028401053,39.38237957,3.243180591,8.029119308,66.84008645,5.693105217,19.164263,0.548551959,0.987143618,31.51913379,1.393899355,49.20116124,0.024056261,0.977879801
TOX-10547,1,10.93777595,14.70178986,13.63960936,0.243255344,94.08,6.023355931,44.20892441,3.317445065,8.024725723,77.01069722,5.677126227,0.0,0.508982036,0.987144349,19.76538045,1.430984358,48.84021736,0.033667196,0.977236244
TOX-24122,0,10.43535122,14.70061018,14.54334559,0.325136392,139.08,6.023509929,23.52776882,3.286630151,53.00226836,69.50091682,5.694034119,67.77261188,0.746919014,0.151461879,86.6806222,1.764276144,68.19800704,0.10601891,0.972662329
TOX-62123,1,10.33723271,15.59251265,14.54329356,0.32056828,99.04,5.023680907,11.92184427,3.231665783,17.00212604,47.51298135,5.697869928,35.23174507,0.662527165,0.660640177,37.25557254,1.602841398,56.74703919,0.086066699,0.98860231
TOX-61299,1,10.95337299,14.70547249,14.54934217,0.264413218,82.07,6.013831549,48.87338583,3.237730782,8.017806751,70.03593811,5.692216087,4.992404733,0.518828452,0.996623258,35.39237126,1.50727161,48.90059787,0.041666667,0.987193728
TOX-21819,1,10.93530234,14.70271614,14.5511313,0.267195034,114.04,6.021922058,34.88452354,3.320945366,17.00110279,63.51363867,5.674964189,29.38085085,0.614513083,0.77399705,49.69370875,1.467395874,53.34509273,0.154029192,0.977895112
TOX-78943,1,10.9217737,14.70120879,14.54390194,0.256047663,67.04,6.02813376,42.71980917,4.029034162,8.028988718,61.7574723,5.661403536,23.78845035,0.574585635,0.995378218,45.82047129,1.406176151,51.15086394,0.096624737,0.977878328
TOX-36685,1,11.08090816,15.57922998,14.56333803,0.279320088,10.02,5.088630556,24.53417895,3.029570703,7.089333396,33.67879986,5.820608164,10.96913104,0.615384615,1.820608164,25.93115606,1.28067213,49.34769307,0.0,0.911044231
TOX-67721,0,10.93583431,14.70102208,14.55104779,0.25780117,76.06,6.028259148,48.05017546,3.320704026,8.029070054,71.5837208,5.674941586,5.316788604,0.544461778,0.987214104,32.0465756,1.476664595,49.23714942,0.118021632,0.977799683
TOX-46164,0,10.20156948,15.59253958,14.55052333,0.307855766,43.05,5.015404008,54.78853374,4.044017769,16.04245456,54.2197348,5.789306516,42.07800172,0.680722892,0.38982316,39.37069366,1.56620477,53.78364676,0.201246118,0.984781989
TOX-27124,1,10.94439967,14.70816279,14.54085077,0.29120246,55.03,5.00613489,12.15419938,3.212391308,17.0011024,47.76562329,5.684166329,5.316788604,0.619110379,0.774002606,35.87076059,1.481481696,54.13308377,0.055555556,0.987736541
TOX-19287,0,11.14744649,14.70139649,14.54344207,0.393569368,8.03,6.0280548,37.61328178,3.047852935,8.029035751,21.45612088,5.882154159,4.736862954,0.473451327,0.997577571,0.0,1.608700166,45.00723486,0.064549722,0.977663702
TOX-6578,1,10.20091631,14.65153918,14.59473987,0.436804561,16.08,7.004117751,19.14290613,4.029451499,16.04247265,42.58932149,5.698986314,0.0,0.509677419,0.390559184,12.13273414,2.05317351,49.13382266,0.027777778,0.972797981
TOX-38221,1,10.95355629,14.70178375,14.54029162,0.249187883,19.03,6.023144425,11.69042468,3.136264288,8.023238917,56.73873991,5.692468967,12.2405258,0.595185996,0.987848101,30.6862899,1.343700161,51.30219441,0.027777778,0.972682903
TOX-6971,0,10.31300163,13.30412384,17.42476856,0.481239319,10.03,7.004051557,5.161261852,3.07336972,16.00441187,48.5151051,5.698965826,22.37154003,0.571583514,0.653456008,24.35060758,1.83224889,47.04613166,0.027777778,0.95619065
TOX-21385,0,10.95283226,14.70068418,14.54180978,0.278224709,20.05,6.029165952,19.04809178,3.230307564,8.029271758,57.60354151,5.691580565,17.55731441,0.543859649,0.987778073,25.47729296,1.500275945,49.04721362,0.024056261,0.977119075
TOX-7630,0,10.94632767,14.69977119,13.64564928,0.280625602,73.07,6.029352968,34.3679903,3.255623089,8.031741944,53.71406326,5.685745053,0.0,0.488721805,0.995020356,37.10711152,1.493469276,46.67508867,0.041666667,0.972594584
TOX-60716,1,10.94603402,14.70271705,14.54327729,0.234227493,114.02,6.0219082,23.77266749,3.194131495,8.021957064,61.41558406,5.685700466,4.899909731,0.647887324,1.838814635,30.04456634,1.270980388,53.86784849,0.128699752,0.978040467
TOX-2933,1,10.93375754,14.69808901,13.65124574,0.253884795,109.03,6.038691449,5.106527395,3.291094891,8.038812063,50.66687839,5.672986985,0.0,0.588235294,0.987989255,24.11700725,1.322601,51.64528268,0.072610552,0.97776206
TOX-41884,1,10.97949851,14.69976934,13.64801324,0.228078725,254.08,6.032970777,60.64407274,4.120854148,8.034213607,90.13726359,5.719087773,12.65495579,0.527747552,0.993443736,37.67721264,1.393224469,49.73861248,0.236844549,0.977182889
TOX-4965,1,10.33723392,13.30279412,17.43069428,0.371084995,94.05,7.014078496,0.0,4.022099192,16.00200368,108.9820187,5.693179002,5.316788604,0.517201835,0.660657438,30.33183534,1.744262647,46.65448184,0.090107316,0.989902507
TOX-42211,0,10.33721192,14.70816051,14.54465153,0.262759504,205.05,5.011803821,60.78176726,3.237072053,17.00110433,81.85404869,5.675529226,52.27404198,0.641119483,0.660644621,53.80711903,1.519107213,55.38252409,0.140107316,0.987813592
TOX-11993,1,10.33723051,14.70645956,14.54527625,0.295225851,119.05,6.007459219,39.19456405,3.232345293,17.00110386,66.91120048,5.697500144,48.1606317,0.627365729,0.660641408,57.39275734,1.611765348,55.14814393,0.082345182,0.987178159
TOX-73125,1,10.94793869,14.70610476,14.54367106,0.217083891,219.04,6.014099132,49.83162454,4.029931024,8.016378427,91.36118657,5.68757868,72.59510928,0.62,0.9872569,51.35939654,1.312140593,52.12249914,0.176738141,0.9872569
TOX-40538,1,10.92695725,14.69975833,14.54327726,0.248506186,205.05,6.031159997,29.92803312,3.292701919,8.031249458,74.08851762,5.666446359,30.02274814,0.573699422,0.987778171,54.12739431,1.423423667,51.28077591,0.102679974,0.971466068
TOX-47185,1,10.9462006,14.7058434,14.54022881,0.219801477,159.05,6.011933364,31.96645311,3.215211515,8.014184972,90.46723038,5.685522858,29.58225688,0.585430464,0.98717732,101.8846456,1.338033324,51.22640114,0.080973986,0.987131646
TOX-14301,1,10.95203732,14.70681629,14.54500382,0.247265471,163.03,6.010087057,43.02651707,3.213963112,8.010118227,64.50618351,5.691604131,65.37842799,0.626719057,0.996962549,31.16467923,1.349928929,52.6645033,0.105555556,0.993914862
TOX-23184,1,10.9443938,14.70146268,14.54391494,0.212729084,304.03,6.028314587,36.10453505,3.217540481,8.028794944,88.521144,5.684084453,48.34578412,0.639726027,0.996961262,49.42131295,1.271541281,53.76588757,0.319203048,0.977997388
TOX-3954,0,11.04626728,14.69977138,14.54379981,0.251477236,79.07,6.02905553,58.62647271,3.214730616,8.031575625,74.54730454,5.785708862,5.316788604,0.524087591,0.987188156,45.44866694,1.47314887,47.82465284,0.230257692,0.972528286
TOX-10645,0,10.91346794,14.70271918,13.63670287,0.291056381,11.01,6.021913406,5.783244946,3.055456999,8.021960364,25.94452322,5.653077975,11.84086864,0.62992126,0.995957955,18.05316846,1.236386411,52.69323519,0.032075015,0.972954288
TOX-11994,1,10.95486496,14.69976947,14.54392523,0.22697617,621.12,6.031775275,134.6643438,4.048769073,8.03355366,117.0975507,5.694486168,4.899909731,0.509917355,0.995219401,31.51913379,1.473495951,48.57701758,0.480766722,0.972426716
TOX-33435,0,10.99408393,14.6997714,13.64670673,0.217711553,109.1,6.028862902,92.90986062,4.023948496,8.032684916,96.24566729,5.733588835,0.0,0.496957404,0.992757709,33.10993927,1.376356784,47.37800169,0.337509032,0.97245748
TOX-22010,0,10.31300261,15.5792229,14.56333274,0.52698483,6.03,5.08861737,11.70601826,2.245950773,16.00441151,23.65948208,5.828212401,22.37154003,0.608938547,0.653456098,12.21787344,1.823067982,51.58124123,0.0,0.911034246
TOX-12893,0,10.9602109,14.65155487,14.59481999,0.301049156,21.07,7.004118867,48.5163081,3.134768832,8.05460548,57.9518417,5.698975087,24.06417273,0.502636204,0.9872569,25.22224695,1.623352606,46.77266899,0.027777778,0.972679009
TOX-50758,0,10.95410163,14.70565099,14.54753382,0.268364183,99.04,6.009045763,49.69552459,3.195263559,8.012254987,56.9335906,5.693395329,21.9325536,0.573560768,0.98794047,31.04074445,1.437775065,50.06849305,0.175398262,0.987172071
TOX-73215,0,10.31300075,15.58850727,14.54935944,0.431406596,11.03,5.042105541,5.161261852,3.059463914,17.00110268,27.95290735,5.694695192,22.37154003,0.65702262,0.653448428,29.91405907,1.763358429,54.40801425,0.027777778,0.956179942
TOX-62415,1,10.91330699,14.70681665,14.55350866,0.262620935,163.04,6.005011642,50.12831907,3.286494503,8.010007829,65.18588917,5.652909956,46.61490075,0.606525912,1.857051056,24.41816931,1.425050722,51.45596852,0.15398178,1.7734661
TOX-18366,1,10.90904542,15.57843527,14.56445555,0.299741647,14.02,5.091398084,0.0,3.059441092,7.091452126,33.06747782,5.648414617,11.84086864,0.641509434,2.734396615,12.13273414,1.295461844,45.02552022,0.032075015,0.911223682
TOX-1837,0,10.95392124,14.65153808,14.59478005,0.395731636,20.09,7.004118153,38.52853805,3.162827177,17.0032034,43.13494986,5.692877143,5.316788604,0.469650083,0.767916517,17.69618563,1.978658178,46.17224525,0.027777778,0.972615354
TOX-13646,0,11.14820439,14.70146143,14.64566467,0.441074913,6.04,6.028113596,12.70012204,3.041060827,8.028835843,16.41576128,5.887512155,10.57953322,0.410138249,0.988022596,6.9237372,1.723231429,38.68610414,0.0,0.977633581
TOX-14305,1,10.31293068,14.70269337,14.56467795,0.394165842,49.07,6.022240137,24.85500994,3.318881267,16.00480214,53.52078746,5.758645374,9.967957042,0.574468085,0.653192147,17.97072705,1.8948951,52.23780058,0.073208085,0.977250939
TOX-24241,1,10.95770393,14.70146119,14.5403049,0.385734551,58.06,6.028777003,6.093240071,3.197235453,17.00315612,36.82391072,5.699668908,5.316788604,0.561553291,0.772903831,18.19910121,1.834124397,46.97118365,0.052908348,0.977884117
TOX-12387,0,11.06644274,14.70271223,14.54458994,0.214252601,15.02,6.021976046,24.90243343,3.121386093,8.022015632,54.97065634,5.80602724,6.9237372,0.625336927,0.987731623,6.420821623,1.176643813,48.18055149,0.0,0.977667507
TOX-60427,0,10.94769551,14.69977294,14.54146703,0.282024494,164.08,6.025786553,33.96602482,3.17747107,8.032141224,74.36561109,5.687267871,10.63357721,0.532374101,2.73420259,60.17040815,1.591705689,46.41803212,0.087630571,0.971528464
TOX-53232,1,10.93991908,14.70179194,14.54378243,0.23438777,129.04,6.023353171,36.34853841,4.030090714,8.023388632,76.06700827,5.679596235,37.36336421,0.603361345,0.987846829,69.66508273,1.355080009,51.3577104,0.176191231,0.977320513
TOX-28719,0,10.95323607,14.70228467,14.54148882,0.285512817,64.06,6.022309694,46.36792599,3.234199203,8.022568878,58.24233191,5.692489316,10.63357721,0.518850987,0.996623265,31.51913379,1.549268137,48.06567487,0.093002117,0.97788274
TOX-21786,1,10.94371732,14.70681666,14.55748835,0.256047663,67.04,6.005856269,31.05877465,3.212230691,8.010026568,66.77901298,5.683391157,31.18920547,0.606525912,0.995391662,23.61409167,1.406176151,51.366104,0.059852793,0.972809809
TOX-44503,1,10.94369172,15.59409591,14.54085045,0.202881385,109.01,4.168137115,13.59242839,4.029915418,7.021810395,64.55865269,5.683390682,73.02813127,0.688741722,0.995956325,49.89970229,1.120627899,54.61793581,0.136318814,0.987935676
TOX-9384,1,10.95486582,14.70146632,14.54022772,0.260150871,17.03,6.028124563,24.65986891,4.017999037,8.028768821,50.86977943,5.694487124,12.2405258,0.58313253,0.98765987,38.94578657,1.365252914,50.6340075,0.032075015,0.977895905
TOX-70252,0,10.95352201,14.70068154,14.55103999,0.319157903,64.06,6.023237732,21.96699093,3.222884341,8.029042738,55.81872865,5.692442389,10.30076712,0.532967033,0.995021558,37.6100271,1.650022422,47.53356595,0.043915208,0.971529506
TOX-62071,1,10.33797146,14.7014651,14.56332145,0.346773909,17.05,6.028126972,23.31301938,3.135775143,16.00200344,49.98676387,5.723803453,4.983978521,0.572413793,0.656187042,43.15708396,1.717986023,51.92041336,0.0248452,0.911031996
TOX-39603,0,9.739206291,14.70144142,14.53887931,0.40239846,9.05,6.022008159,38.61920829,3.121123478,34.00071462,35.43861783,5.846781312,0.0,0.622027534,0.211027563,0.0,1.794468415,53.76405386,0.0,0.972806007
TOX-37642,1,10.94679089,14.70549059,14.54327172,0.258518819,55.03,6.008998907,32.20901763,3.219488665,8.012684386,53.06903901,5.686107255,30.53531675,0.589449541,0.99360607,36.60419594,1.366375942,51.24055896,0.053108195,0.957295693
TOX-63098,1,10.9534432,14.70237553,14.5484836,0.249644548,286.06,6.022246721,67.81032076,4.029877131,8.022331194,85.77368836,5.692981828,27.99892067,0.579591837,0.996275217,43.17347859,1.468569763,50.83678386,0.307075046,0.977927361
TOX-31147,0,10.99730245,15.58607471,14.55746098,0.36830343,12.04,5.04873402,30.31776758,3.060000958,17.00110183,34.34107142,5.733259337,9.976383254,0.575,0.774001563,12.13273414,1.642423962,50.90020603,0.021516574,0.988603571
TOX-1784,1,10.33723456,14.70720078,13.62436236,0.409720524,58.07,5.013923555,10.21305479,3.237437728,17.00417178,32.03882824,5.699456384,0.0,0.580464371,0.660630233,24.26546827,1.902683189,44.85285986,0.041666667,0.992537259
TOX-17264,1,10.9509061,14.70117284,14.54327095,0.236787941,198.04,6.028434007,43.71724817,3.166640398,8.028948362,75.02254107,5.69055821,4.899909731,0.597222222,0.997569177,61.52952085,1.362687964,52.20366431,0.229811771,0.97798062
TOX-1971,0,10.33782419,13.30411818,17.42477318,0.361991888,219.11,7.004066167,55.15134205,4.023087578,17.00110466,95.25291845,5.689091217,10.47345186,0.505338078,0.659347561,32.90394574,2.010716106,47.20117846,0.693491581,0.972480399
TOX-25128,1,10.95526976,14.70681622,14.54586038,0.224581139,184.04,6.005011607,78.76279764,3.158219322,8.010009646,80.51256108,5.69485464,51.95530173,0.618150685,0.993931071,25.32883194,1.315592041,50.83293324,0.163756522,0.993922902
TOX-77749,0,10.95370753,14.70270909,14.64180947,0.326625389,94.05,6.021919877,21.1699429,3.147969218,8.022020234,50.92706789,5.691962754,15.51117744,0.563474388,1.895303732,17.69618563,1.602715051,47.42746249,0.074973636,0.978003157
TOX-6304,0,10.31129658,14.70681644,14.55241825,0.282558552,61.05,6.0075403,50.2203834,3.198631866,16.00450396,65.83615824,5.696793876,29.79772972,0.607802875,0.653177091,31.28861402,1.533237512,52.39711331,0.133731825,0.987151056
TOX-55656,0,10.95360059,14.7054746,14.54466605,0.255146586,139.06,6.011375476,59.51812552,3.233471794,8.015214225,76.13504108,5.692923965,21.9325536,0.554904832,0.996623262,41.9616539,1.475094192,50.01293174,0.098611111,0.987193995
TOX-35024,1,11.05706155,14.70028764,14.55870503,0.258425007,219.18,6.025108833,135.1094175,3.212130385,8.031465146,114.7160098,5.795149954,26.25955915,0.46460537,0.988607145,32.10410811,1.673491457,43.92007979,0.127739227,0.972352024
TOX-27065,1,10.96004537,14.70227115,14.54461659,0.248551813,85.06,6.022385266,57.81259213,3.166593615,8.022668703,79.79691961,5.698911507,18.74738413,0.559659091,0.9872569,49.48771522,1.456011797,50.16502615,0.055555556,0.977840784
TOX-74829,1,10.95714335,14.70177588,14.56164249,0.341671382,129.09,6.023565854,44.05321416,3.281073648,17.00214033,65.19443736,5.693722805,33.69931969,0.539851222,0.772904074,25.22224695,1.842400547,48.87085625,0.047308758,0.977213709
TOX-109749,0,10.33767873,14.70146628,14.54783831,0.326679075,55.04,6.028126443,23.31301938,3.135848743,16.00200284,48.38982025,5.700840315,4.983978521,0.601351351,0.656193135,24.26546827,1.61843227,52.9216778,0.056920215,0.978044359
TOX-45149,0,11.10666698,14.69976983,14.54465281,0.268081356,114.06,6.030314755,74.2207324,3.128259687,8.031088219,63.02616708,5.845258834,9.799819462,0.525951557,1.891801852,25.68328649,1.49722432,47.98640904,0.181445856,0.977237716
TOX-35563,1,10.3115172,14.7021572,13.64599606,0.632099312,9.05,6.017520443,8.417796984,4.039139224,17.00213451,15.80530989,5.743780142,0.0,0.520361991,0.641694507,0.0,2.186704346,39.53569805,0.314788358,0.971612075
TOX-73469,1,10.91593733,15.58605422,14.55724285,0.283324235,84.03,5.042505918,19.04906738,3.239261736,7.068487423,47.44978767,5.655194,58.09055142,0.620967742,1.896086875,11.45259128,1.376383748,51.04909895,0.079784889,1.75113471
TOX-16568,0,10.33808936,15.58786901,14.55218485,0.370483914,7.04,4.216610017,17.46526178,3.037387498,16.002002,29.94318105,5.856104802,0.0,0.570754717,0.656194968,12.96557803,1.573788813,49.09141732,0.0,0.972892765
TOX-18786,0,11.06097522,14.70178023,14.54451961,0.281425375,18.05,6.02448842,17.84547397,3.162850996,8.024721568,52.56449023,5.799325071,17.55731441,0.52866242,0.987938366,6.420821623,1.497725609,47.69234084,0.018042196,0.977291016
TOX-51666,1,10.95918091,14.70177585,14.56599782,0.295480657,191.08,6.023849852,29.07011338,3.31917934,8.023868785,74.80153124,5.694955368,19.93591408,0.545180723,0.996026452,24.97437738,1.632105718,47.43325258,0.138556535,0.97725104
TOX-41140,1,10.94862209,14.70553298,14.69234324,0.257805194,144.06,6.00986889,56.14697189,3.213007171,8.013316343,80.00194508,5.687835745,24.0939355,0.571428571,0.994123242,62.47781949,1.490464565,50.42671655,0.096208182,0.987167185
TOX-32107,0,10.96602084,14.70043338,14.54419164,0.321417198,170.08,6.029291304,60.94659809,3.308414284,8.030057031,58.76385378,5.704525101,5.316788604,0.490536278,0.995524694,6.9237372,1.710559215,45.83512652,0.584741953,0.972517908
TOX-7522,0,10.94629052,14.69977116,13.64739821,0.229270952,194.09,6.030921661,40.8279528,3.28789894,8.033437049,95.01928679,5.685621809,0.0,0.52238806,0.98714361,24.47146181,1.414584578,49.47947441,0.038875529,0.972396578
TOX-55178,1,10.95432838,14.70584383,14.54501006,0.223562625,226.04,6.009588471,49.57127347,3.179834163,8.011692864,89.86932374,5.694004555,59.31206092,0.622746186,0.996958291,30.3073091,1.336296391,52.77995663,0.141927808,0.993908548
TOX-15812,0,10.31322775,15.49520117,14.63942205,0.342857422,9.04,5.016008483,30.76144978,3.045772651,16.00441085,36.82394499,5.767008341,17.32151568,0.594488189,0.653465302,12.21787344,1.550936789,50.79121672,0.0,0.957281896
TOX-3942,1,10.96606918,14.70042998,14.54465056,0.323236245,177.09,6.02926422,60.62974286,4.03465723,8.030031517,62.28348887,5.70369644,5.316788604,0.484257871,0.995520595,6.9237372,1.742992436,45.13391551,0.639651334,0.972495969
TOX-61930,1,11.03599704,13.29989149,17.43380963,0.342788605,19.09,7.01732952,35.13344692,4.152416268,9.017340464,147.6867342,5.775444334,4.736862954,0.357364823,0.989519207,5.414990469,1.772191382,41.68913291,0.0,0.972409461
TOX-62114,1,10.94703583,14.70107199,14.53781199,0.331640433,49.05,6.028336915,22.22420091,3.278219377,8.02902732,39.96609556,5.686465415,0.0,0.493181818,0.987990444,12.48718869,1.611102921,47.1228793,0.081613546,0.977890239
TOX-14626,1,10.95991683,14.65045727,14.64189033,0.457906467,17.09,7.005216223,21.39131232,3.20708044,35.00041781,38.84666459,5.697134368,26.45714282,0.496993988,0.252322495,6.066367068,2.099483982,41.76170355,0.024056261,0.971529379
TOX-2371,0,10.34661728,14.7006834,14.5433307,0.347766706,14.05,6.023247327,40.22237298,3.189555214,16.00121155,41.86642016,5.816229388,12.62878915,0.527415144,0.547202658,12.84164325,1.689444049,50.69768262,0.091287093,0.972710304
TOX-3575,1,11.04801137,15.59163352,14.54447329,0.216494776,128.02,5.012949314,48.06252674,3.166177819,7.031647703,58.11982676,5.783993333,9.799819462,0.653543307,1.837065334,57.02943302,1.174757973,50.7129314,0.215165741,1.836075748
TOX-76637,0,10.43534549,14.70046917,14.54073665,0.446650355,19.09,6.024444184,22.89019214,3.32067104,53.00226785,49.47597968,5.68755892,5.316788604,0.73377752,0.151462965,67.77261188,2.099453068,68.66569557,0.015625,0.971486667
TOX-28812,0,11.03600787,14.70177582,14.56729062,0.331408057,104.08,6.023995182,44.98855421,3.338601539,8.024081701,55.28270403,5.758118232,9.883888252,0.491803279,0.996018698,0.0,1.726454817,44.89553191,0.118004226,0.977250932
TOX-4575,1,10.45439593,14.70510716,14.56333412,0.418211574,9.05,6.01148531,25.37264212,4.034288244,15.01008363,30.85486057,5.887653343,0.0,0.54379562,0.540494025,21.01908117,1.836917981,48.41926351,0.0,0.911369787
TOX-20977,1,10.96079359,14.70043817,14.54611128,0.291701733,286.09,6.029070806,70.57405443,4.033816028,8.029976832,78.91470516,5.699303192,5.316788604,0.520807062,0.995394122,26.10414332,1.662828142,47.24334038,0.81315302,0.972495294
TOX-7657,0,10.98694056,15.58950892,14.54783295,0.263421536,10.01,5.022493089,4.983978521,3.053479797,7.044229029,32.4986776,5.722886064,17.97408279,0.662162162,0.987941715,24.47146181,1.191603637,52.68289711,0.0248452,0.987940145
TOX-2965,0,10.94637622,15.59451586,14.54022309,0.195672499,129.01,4.064833808,12.58659724,3.167976661,7.020056857,73.52736683,5.686072054,103.2360318,0.69273743,0.993932266,43.00049133,1.115419284,55.17403171,0.096225045,0.993913099
