TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value (g/kg),Toxicity Value (mg/kg),MW,Toxicity molar kg unit,pLD50 (molar kg unit)
TOX-12267,Fluoresone,1-ethylsulfonyl-4-fluorobenzene,71814,CCS(=O)(=O)c1ccc(F)cc1,PRNNIHPVNFPWAH-UHFFFAOYSA-N,109.9982468,0.109998247,188.0307287,0.000585001,3.232843066
TOX-12292,Diethyl cyanophosphonate,diethoxyphosphorylformonitrile,76257,CCOP(=O)(C#N)OCC,ZWWWLCMDTZFSOO-UHFFFAOYSA-N,3.999926432,0.003999926,163.0398298,2.45334E-05,4.61024171
TOX-12387,,"N,N-dimethyldodecanamide",18159,CCCCCCCCCCCC(=O)N(C)C,BDYUSDIJIDGWCY-UHFFFAOYSA-N,49.99956025,0.04999956,227.2249145,0.000220044,3.657489764
TOX-12397,,"N,N-dimethyltetradecanamide",76388,CCCCCCCCCCCCCC(=O)N(C)C,FQXSTGKJHBFSIQ-UHFFFAOYSA-N,83.99802707,0.083998027,255.2562147,0.000329073,3.482707239
TOX-12398,,,165061,CCOP(=O)(Cc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,XLRKDDZTBFVOSU-UHFFFAOYSA-N,1.352962097,0.001352962,321.0766092,4.2138E-06,5.375323038
TOX-12399,,1-[ethoxy(3-phenylpropyl)phosphoryl]oxy-4-nitrobenzene,165062,CCOP(=O)(CCCc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,PQLURGVJXJUVJX-UHFFFAOYSA-N,0.299997423,0.000299997,349.1079094,8.593E-07,6.065842164
TOX-12400,,1-[ethoxy(4-phenylbutyl)phosphoryl]oxy-4-nitrobenzene,165063,CCOP(=O)(CCCCc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,YSTLIYOIWSLSIK-UHFFFAOYSA-N,0.086988028,8.70E-05,363.1235594,2.396E-07,6.620594941
TOX-12401,,1-[butyl(ethoxy)phosphoryl]oxy-4-nitrobenzene,76390,CCCCP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,MEVAOLBLFMAOEV-UHFFFAOYSA-N,0.071999499,7.20E-05,287.0922593,2.508E-07,6.600692009
TOX-12402,p-Nitrophenyl ethyl pentylphosphonate,1-[ethoxy(pentyl)phosphoryl]oxy-4-nitrobenzene,76391,CCCCCP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,WVEDKNWZBPHSRJ-UHFFFAOYSA-N,0.117996475,0.000117996,301.1079094,3.919E-07,6.40685313
TOX-12403,,1-[ethoxy(heptyl)phosphoryl]oxy-4-nitrobenzene,76392,CCCCCCCP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,HDCSKOHTFSPXEZ-UHFFFAOYSA-N,0.54999499,0.000549995,329.1392095,0.000001671,5.777020888
TOX-12404,,1-[ethoxy(octyl)phosphoryl]oxy-4-nitrobenzene,76393,CCCCCCCCP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,MPURXCAUNNEKMR-UHFFFAOYSA-N,1.201964992,0.001201965,343.1548596,3.5027E-06,5.455598335
TOX-12405,,,96535,CCOP(=O)(CCCCCl)Oc1ccc([N+](=O)[O-])cc1,AFQMAFCJJXJPHP-UHFFFAOYSA-N,0.31799308,0.000317993,321.053287,9.905E-07,6.004159451
TOX-12406,,1-[6-chlorohexyl(ethoxy)phosphoryl]oxy-4-nitrobenzene,200974,CCOP(=O)(CCCCCCCl)Oc1ccc([N+](=O)[O-])cc1,YYHXAVHJLPMEBV-UHFFFAOYSA-N,0.387987797,0.000387988,349.0845871,1.1114E-06,5.954112608
TOX-12701,,1-[ethoxy(2-phenylethyl)phosphoryl]oxy-4-nitrobenzene,165113,CCOP(=O)(CCc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,RUYWTRNGKOALDY-UHFFFAOYSA-N,0.348993755,0.000348994,335.0922593,1.0415E-06,5.98234674
TOX-1292,Glucoxy,"2-(3,4-dihydroxy-5-oxooxolan-2-yl)-2-hydroxyacetaldehyde",219402,O=CC(O)C1OC(=O)C(O)C1O,UYUXSRADSPPKRZ-UHFFFAOYSA-N,939.9786507,0.939978651,176.032088,0.005339814,2.272473851
TOX-12982,,"2-N-[4-(dimethylamino)phenyl]-7-N,7-N-dimethylphenazine-2,3,7-triamine",198944,CN(C)c1ccc(Nc2cc3nc4ccc(N(C)C)cc4nc3cc2N)cc1,UEXSLTSNOSBPBX-UHFFFAOYSA-N,35.28227325,0.035282273,372.2062448,9.47923E-05,4.023227096
TOX-13061,,"5,7-diphenyl-1,3-diazatricyclo[3.3.1.13,7]decan-6-ol",64155,OC1C2(c3ccccc3)CN3CN(C2)CC1(c1ccccc1)C3,NFNGKXBNQGZQFD-UHFFFAOYSA-N,1.199964754,0.001199965,306.1732133,3.9192E-06,5.406798702
TOX-13084,,"3-(2,9-dichloro-5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine",77140,CN(C)CCCN1c2cc(Cl)ccc2CCc2ccc(Cl)cc21,ZRLHYTJLNUJZLB-UHFFFAOYSA-N,14.99978529,0.014999785,348.1160041,4.30885E-05,4.365638947
TOX-13085,,"3-(2,9-dichlorobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine",77141,CN(C)CCCN1c2cc(Cl)ccc2C=Cc2ccc(Cl)cc21,SBKMXWMJQKSYIA-UHFFFAOYSA-N,8.000253386,0.008000253,346.100354,2.31154E-05,4.636098301
TOX-13140,,"1,2-diphenyl-4-(2-phenylsulfanylethyl)pyrazolidine-3,5-dione",77327,O=C1C(CCSc2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,PLGXGMUJUXKCDD-UHFFFAOYSA-N,100.0020593,0.100002059,388.1245489,0.000257655,3.588962169
TOX-13193,Fenobucarb,(2-butan-2-ylphenyl) N-methylcarbamate,19588,CCC(C)c1ccccc1OC(=O)NC,DIRFUJHNVNOBMY-UHFFFAOYSA-N,28.99958029,0.02899958,207.1259288,0.000140009,3.853842756
TOX-13378,,"N,N-dimethyloctadecanamide",19765,CCCCCCCCCCCCCCCCCC(=O)N(C)C,BTSRIWFABHLYDQ-UHFFFAOYSA-N,70.98769391,0.070987694,311.3188149,0.000228023,3.642022301
TOX-13429,oleandomycin,"6-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-hydroxy-8-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-5,7,9,12,13,15-hexamethyl-1,11-dioxaspiro[2.13]hexadecane-10,16-dione",4587,COC1CC(OC2C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O,RZPAKFUAFGMUPI-UHFFFAOYSA-N,300.0139559,0.300013956,687.4193764,0.000436435,3.360080312
TOX-13459,,5-methoxy-3-(2-pyrrolidin-1-ylethyl)-1H-indole,17053,COc1ccc2[nH]cc(CCN3CCCC3)c2c1,KAASYKNZNPWPQG-UHFFFAOYSA-N,0.299990178,0.00029999,244.1575633,1.2287E-06,5.910563146
TOX-13622,,2-(4-methoxyphenyl)-N-methylethanamine,104735,CNCCc1ccc(OC)cc1,JCMWSVNNSPUNER-UHFFFAOYSA-N,1.499945533,0.001499946,165.1153641,9.0842E-06,5.041711998
TOX-13645,Benzo-tepa,N-[bis(aziridin-1-yl)phosphoryl]benzamide,160733,O=C(NP(=O)(N1CC1)N1CC1)c1ccccc1,BRZOTEHEMOQUOY-UHFFFAOYSA-N,17.49958205,0.017499582,251.0823633,6.96966E-05,4.156788531
TOX-13807,,"N,N,7-trimethyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",53463870,CN(C)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,FWHSERNVTGTIJE-UHFFFAOYSA-N,0.400018959,0.000400019,295.1684623,1.3552E-06,5.867989377
TOX-13841,TYBAMATE,[2-(carbamoyloxymethyl)-2-methylpentyl] N-butylcarbamate,20266,CCCCNC(=O)OCC(C)(CCC)COC(N)=O,PRBORDFJHHAISJ-UHFFFAOYSA-N,104.9996173,0.104999617,274.1892573,0.000382946,3.416862719
TOX-13875,,"(7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl)-morpholin-4-ylmethanone",12311417,CN1CC(C(=O)N2CCOCC2)C=C2c3cccc4[nH]cc(c34)CC21,OTQWCDNEJVKXKG-UHFFFAOYSA-N,0.699952286,0.000699952,337.179027,2.0759E-06,5.682792117
TOX-13955,Raubasine,"methyl 16-methyl-17-oxa-3,13-diazapentacyclo[11.8.0.02,10.04,9.015,20]henicosa-2(10),4,6,8,18-pentaene-19-carboxylate",251561,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,GRTOGORTSDXSFK-UHFFFAOYSA-N,19.99807058,0.019998071,352.1786926,5.67839E-05,4.24577498
TOX-1396,Folcidin,2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,135444779,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,420.3650762,0.420365076,441.1396813,0.000952907,3.020949497
TOX-14233,,2-amino-4-(ethylsulfanylamino)-4-oxobutanoic acid,21016,CCSNC(=O)CC(N)C(=O)O,QGTLKVBLZFMYIQ-UHFFFAOYSA-N,200.0000001,0.2,192.0568632,0.001041358,2.982399836
TOX-14333,Reumycin,"6-methyl-8H-pyrimido[5,4-e][1,2,4]triazine-5,7-dione",5351216,Cn1c(=O)[nH]c2nncnc2c1=O,ZLLAXLPOOMLVRF-UHFFFAOYSA-N,34.00018984,0.03400019,179.0443244,0.000189898,3.721479217
TOX-1451,,"5-bromo-N-[2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",2443,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-UHFFFAOYSA-N,11.99989,0.01199989,653.2212815,1.83703E-05,4.73588306
TOX-14596,,1-morpholin-4-ylnonan-1-one,79182,CCCCCCCCC(=O)N1CCOCC1,NBRDJXSTGSUITP-UHFFFAOYSA-N,20.99926106,0.020999261,227.188529,0.000092431,4.034182387
TOX-14768,mercaptoacetic acid,2-sulfanylacetic acid,1133,O=C(O)CS,CWERGRDVMFNCDR-UHFFFAOYSA-N,100.0010855,0.100001086,91.99320037,0.001087049,2.963751014
TOX-15010,METHOXYPHENAMINE,1-(2-methoxyphenyl)-N-methylpropan-2-amine,4117,CNC(C)Cc1ccccc1OC,OEHAYUOVELTAPG-UHFFFAOYSA-N,29.99949797,0.029999498,179.1310142,0.000167472,3.776056798
TOX-15050,,3-(6H-benzo[c][1]benzoxepin-11-ylidene)propan-1-amine,21840,NCCC=C1c2ccccc2COc2ccccc21,HLUSHBJOSPBFOC-UHFFFAOYSA-N,13.19801213,0.013198012,251.1310142,5.25543E-05,4.279391827
TOX-15130,DRAZOXOLON,"4-[(2-chlorophenyl)diazenyl]-3-methyl-2H-1,2-oxazol-5-one",21929,Cc1[nH]oc(=O)c1N=Nc1ccccc1Cl,ZRGHYHHYHYAJBT-UHFFFAOYSA-N,19.99949505,0.019999495,237.0305042,8.43752E-05,4.07378521
TOX-15253,,"N-[(5-bromothiophen-2-yl)methyl]-N,N'-dimethyl-N'-pyridin-2-ylethane-1,2-diamine",201314,CN(CCN(C)c1ccccn1)Cc1ccc(Br)s1,PHSRLIJLGNNJDM-UHFFFAOYSA-N,87.49742862,0.087497429,339.0404807,0.000258074,3.588256265
TOX-15316,,"N,N-dimethylhexanamide",22084,CCCCCC(=O)N(C)C,OAERLTPBKQBWHJ-UHFFFAOYSA-N,63.99999999,0.064,143.1310142,0.000447143,3.349553775
TOX-15390,butacaine,3-(dibutylamino)propyl 4-aminobenzoate,2480,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,HQFWVSGBVLEQGA-UHFFFAOYSA-N,10.99820524,0.010998205,306.2307282,3.59148E-05,4.444726947
TOX-15416,Linadryl,4-(2-benzhydryloxyethyl)morpholine,22215,c1ccc(C(OCCN2CCOCC2)c2ccccc2)cc1,MJPJBBIHDOFGDK-UHFFFAOYSA-N,21.00014122,0.021000141,297.172879,7.06664E-05,4.150786956
TOX-15436,dimethyl phosphorofluoridate,[fluoro(methoxy)phosphoryl]oxymethane,80052,COP(=O)(F)OC,XCTATYNREGBPBO-UHFFFAOYSA-N,2.00001562,0.002000016,128.0038589,1.56247E-05,4.806189675
TOX-15512,,N-[2-(diethylamino)ethyl]pyridine-4-carboxamide,22339,CCN(CC)CCNC(=O)c1ccncc1,NATGYNRBXIXCAS-UHFFFAOYSA-N,659.988071,0.659988071,221.1528122,0.002984308,2.52515638
TOX-15537,Heptanal,heptanal,8130,CCCCCCC=O,FXHGMKSSBGDXIY-UHFFFAOYSA-N,450.0078813,0.450007881,114.1044651,0.003943824,2.404082519
TOX-15544,,"16-methoxy-5-oxa-10-azatetracyclo[8.7.0.01,13.02,7]heptadeca-2(7),12,14-trien-4-one",410620,COC1C=CC2=CCN3CCC4=C(CC(=O)OC4)C23C1,PXWINCSLFXUWBZ-UHFFFAOYSA-N,8.599937071,0.008599937,273.1364935,3.14859E-05,4.501884456
TOX-15561,,4-(dimethylamino)-1-methyl-5-methylidene-2-phenylpyrazolidin-3-one,23715660,C=C1C(N(C)C)C(=O)N(c2ccccc2)N1C,OTPAYCWKBFYJBB-UHFFFAOYSA-N,170.9933462,0.170993346,231.1371622,0.000739792,3.130890566
TOX-15644,Diphepanol,"1,1-diphenyl-2-piperidin-1-ylpropan-1-ol",94161,CC(N1CCCCC1)C(O)(c1ccccc1)c1ccccc1,ZOCMPVMKPVJTEP-UHFFFAOYSA-N,12.4988999,0.0124989,295.1936144,4.23414E-05,4.373235169
TOX-15664,,2-(diethylamino)ethyl 2-(4-hexoxyphenyl)-2-hydroxy-2-phenylacetate,201539,CCCCCCOc1ccc(C(O)(C(=O)OCCN(CC)CC)c2ccccc2)cc1,VTQHDICZORLCQT-UHFFFAOYSA-N,10.00035082,0.010000351,427.2722587,2.34051E-05,4.630689461
TOX-1572,papaverine,"1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline",4680,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,25.00066294,0.025000663,339.1470582,7.37163E-05,4.132436529
TOX-1601,Tutin,"2,8-dihydroxy-7-methyl-12-prop-1-en-2-ylspiro[4,10-dioxatetracyclo[7.2.1.02,7.03,5]dodecane-6,2'-oxirane]-11-one",122160,C=C(C)C1C2OC(=O)C1C1(O)C3OC3C3(CO3)C1(C)C2O,CCAZWUJBLXKBAY-UHFFFAOYSA-N,1.243987319,0.001243987,294.1103383,4.2297E-06,5.373694337
TOX-16166,Diisoamyl adipate,bis(3-methylbutyl) hexanedioate,23105,CC(C)CCOC(=O)CCCCC(=O)OCCC(C)C,HIEOGLNFUKBFCF-UHFFFAOYSA-N,639.9955309,0.639995531,286.2144094,0.00223607,2.650514553
TOX-1621,Coriamyrtin,"2-hydroxy-7-methyl-12-prop-1-en-2-ylspiro[4,10-dioxatetracyclo[7.2.1.02,7.03,5]dodecane-6,2'-oxirane]-11-one",433737,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,BWWDLKVKPVKBGJ-UHFFFAOYSA-N,0.370994668,0.000370995,278.1154237,0.000001334,5.874857407
TOX-16401,,"5-butyl-1-phenyl-1,3-diazinane-2,4,6-trione",28927,CCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O,FUSQPEGOVZRRBP-UHFFFAOYSA-N,325.4345741,0.325434574,266.1630426,0.001222689,2.912684062
TOX-16450,,4-phenylpiperidine-4-carbaldehyde,81397,O=CC1(c2ccccc2)CCNCC1,XCENPWBBAXQVCG-UHFFFAOYSA-N,2.999873186,0.002999873,189.1153641,1.58627E-05,4.799623917
TOX-16572,carpipramine,"1-[3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)propyl]-4-piperidin-1-ylpiperidine-4-carboxamide",2580,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,NWPJLRSCSQHPJV-UHFFFAOYSA-N,17.99842828,0.017998428,446.3045618,4.03277E-05,4.394396744
TOX-16577,Methaphenilene,"N,N-dimethyl-N'-phenyl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine",10306,CN(C)CCN(Cc1cccs1)c1ccccc1,LDYJXVUOVPVZKA-UHFFFAOYSA-N,29.99930876,0.029999309,260.1347196,0.000115322,3.938087073
TOX-16717,Tolycaine,methyl 2-[[2-(diethylamino)acetyl]amino]-3-methylbenzoate,72137,CCN(CC)CC(=O)Nc1c(C)cccc1C(=O)OC,UDKICLZCJWQTLS-UHFFFAOYSA-N,39.99971258,0.039999713,278.1630426,0.0001438,3.842242557
TOX-16750,,"(4,7-dimethyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinolin-9-yl)-pyrrolidin-1-ylmethanone",53463888,CN1CC(C(=O)N2CCCC2)C=C2c3cccc4c3c(cn4C)CC21,PWISINPCTJKXCA-UHFFFAOYSA-N,7.998783725,0.007998784,335.1997624,2.38627E-05,4.622279748
TOX-16769,,"N-ethyl-4,7-dimethyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide",10086668,CCNC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,OLUVTYNEBIODME-UHFFFAOYSA-N,8.999621869,0.008999622,309.1841124,2.91076E-05,4.535992907
TOX-1680,,2-(methylamino)-1-phenylpropan-1-ol,5032,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,64.99763981,0.06499764,165.1153641,0.00039365,3.4048899
TOX-17028,,"2-(2,2-diphenyl-1,3-dioxolan-4-yl)piperidine",66270,c1ccc(C2(c3ccccc3)OCC(C3CCCCN3)O2)cc1,HGKAMARNFGKMLC-UHFFFAOYSA-N,30.08222785,0.030082228,309.172879,9.72991E-05,4.011891394
TOX-1703,salicylic acid,2-hydroxybenzoic acid,338,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,414.9939904,0.41499399,138.0316941,0.003006512,2.52193701
TOX-1716,,2-ethoxyethanol,8076,CCOCCO,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,899.9800263,0.899980026,90.06807956,0.00999222,2.000338032
TOX-17175,ZINOSTATIN,"[11-[4,5-dihydroxy-6-methyl-3-(methylamino)oxan-2-yl]oxy-4-(2-oxo-1,3-dioxolan-4-yl)-5-oxatricyclo[8.3.0.04,6]tridec-1(13)-en-2,7-diyn-12-yl] 2-hydroxy-7-methoxy-5-methylnaphthalene-1-carboxylate",76632185,CNC1C(OC2C(OC(=O)c3c(O)ccc4c(C)cc(OC)cc34)C=C3C#CC4(C5COC(=O)O5)OC4C#CCC32)OC(C)C(O)C1O,BLXZMHNVKCEIJX-UHFFFAOYSA-N,0.899918387,0.000899918,661.2159256,0.000001361,5.86614018
TOX-17205,,4-cyclohexyloxy-4-oxobutanoic acid,120922,O=C(O)CCC(=O)OC1CCCCC1,CQBVVSONJDUVEJ-UHFFFAOYSA-N,749.9850172,0.749985017,200.104859,0.00374796,2.426205047
TOX-17272,,"N-methyl-3-(6-thiatricyclo[8.4.0.03,7]tetradeca-1(14),3(7),4,10,12-pentaen-2-ylidene)propan-1-amine",20596,CNCCC=C1c2ccccc2CCc2sccc21,RDBMZAMQBNYOIJ-UHFFFAOYSA-N,13.99932447,0.013999324,269.1238206,5.20182E-05,4.28384506
TOX-1744,,6-aminohexanoic acid,564,NCCCCCC(=O)O,SLXKOJJOQWFEFD-UHFFFAOYSA-N,1999.923767,1.999923767,131.0946287,0.015255574,1.816571456
TOX-1746,amitriptyline,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",2160,CN(C)CCC=C1c2ccccc2CCc2ccccc21,KRMDCWKBEZIMAB-UHFFFAOYSA-N,9.226768021,0.009226768,277.1830497,3.32876E-05,4.477717067
